                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1126,                 3.4381,                 4.1731,                0.00346,                    0.8,                0.40934,                0.16969,                  2.615,                  3.805,                 4.1127,                0.00056,                0.00056,                0.00056
                      1,                 3.1135,                 3.3222,                 3.9846,                0.00358,                0.82857,                0.07111,                0.01998,                 2.6271,                 3.7914,                  3.677,              0.0010949,              0.0010949,              0.0010949
                      2,                 3.0156,                 3.2054,                  3.703,                0.08284,                    0.4,                0.05751,                0.01652,                 2.7298,                 10.277,                  3.775,              0.0015838,              0.0015838,              0.0015838
                      3,                 2.8681,                 3.1736,                  3.502,                0.16273,                0.11429,                0.11379,                0.04596,                 2.9334,                 3.5343,                 4.0861,              0.0017624,              0.0017624,              0.0017624
                      4,                 2.7412,                  3.122,                 3.3024,                0.17045,                0.22857,                0.15066,                0.05249,                 2.6296,                 5.3708,                 3.5732,              0.0017624,              0.0017624,              0.0017624
                      5,                  2.597,                 3.0548,                 3.1828,                0.12282,                0.31429,                0.09644,                0.03914,                 2.4407,                 3.8039,                 3.3115,              0.0016832,              0.0016832,              0.0016832
                      6,                 2.5595,                 2.9949,                 3.0693,                0.25269,                0.22857,                0.17092,                0.05968,                 2.5964,                 3.9303,                 3.3127,               0.001604,               0.001604,               0.001604
                      7,                 2.5133,                 2.9007,                 2.9895,                0.17239,                0.31429,                0.14226,                0.05067,                 2.1862,                 3.7661,                 3.1264,              0.0015248,              0.0015248,              0.0015248
                      8,                 2.4701,                 2.7715,                 2.9228,                 0.0966,                0.51429,                0.08191,                0.03162,                 2.2855,                 3.1801,                 3.0624,              0.0014456,              0.0014456,              0.0014456
                      9,                 2.3973,                 2.7327,                 2.8749,                0.18748,                0.22857,                 0.1626,                0.05094,                 2.2107,                 2.9098,                 2.9352,              0.0013664,              0.0013664,              0.0013664
                     10,                 2.3738,                 2.6606,                 2.8502,                0.12736,                0.65714,                0.11182,                0.03825,                 2.1288,                 2.8708,                  2.816,              0.0012872,              0.0012872,              0.0012872
                     11,                 2.3128,                 2.5723,                 2.7454,                0.29345,                0.48571,                0.22779,                0.08888,                 2.1796,                 2.6035,                   2.85,               0.001208,               0.001208,               0.001208
                     12,                  2.245,                 2.5604,                 2.7017,                0.24642,                0.42857,                0.26097,                0.12745,                 2.1647,                 2.5501,                 2.8855,              0.0011288,              0.0011288,              0.0011288
                     13,                 2.1609,                 2.4602,                 2.6185,                 0.4579,                0.31429,                0.41272,                0.17438,                 2.1172,                 2.3612,                 2.7931,              0.0010496,              0.0010496,              0.0010496
                     14,                 2.1961,                 2.4297,                 2.6251,                0.28973,                    0.6,                 0.3086,                0.11947,                 2.1347,                  2.344,                 2.7862,              0.0009704,              0.0009704,              0.0009704
                     15,                 2.0389,                 2.6033,                 2.6725,                0.37994,                0.62857,                0.44738,                0.16232,                 2.0117,                 2.3599,                 2.6218,              0.0008912,              0.0008912,              0.0008912
                     16,                   1.98,                 2.3777,                 2.5888,                0.36258,                0.47147,                0.42735,                0.18636,                 1.9307,                 2.2451,                 2.6117,               0.000812,               0.000812,               0.000812
                     17,                 1.9593,                 2.2931,                  2.554,                0.42197,                0.45714,                0.44788,                0.18491,                 2.0162,                  2.211,                 2.6184,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.9673,                 2.3344,                 2.5514,                0.31583,                0.65714,                 0.3924,                0.19839,                  1.937,                 2.4981,                 2.5493,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.8786,                 2.1995,                 2.4751,                0.44417,                0.65714,                0.43463,                0.24513,                 1.8839,                 2.1069,                 2.4856,              0.0005744,              0.0005744,              0.0005744
                     20,                  1.829,                 2.1167,                 2.4045,                0.62238,                0.54286,                0.56276,                0.27359,                 1.8752,                 2.0332,                 2.4689,              0.0004952,              0.0004952,              0.0004952
                     21,                   1.89,                 2.1236,                 2.4518,                0.51001,                0.57143,                0.54807,                 0.2459,                 1.9026,                 2.0861,                 2.4402,               0.000416,               0.000416,               0.000416
                     22,                 1.8517,                 2.0923,                 2.4245,                0.43706,                0.51429,                0.46771,                0.29091,                  2.017,                 2.4859,                 2.7138,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.8304,                  2.065,                 2.4178,                0.48396,                0.54286,                0.51828,                0.30435,                 1.7677,                 2.0154,                 2.3671,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.8114,                 2.0129,                 2.3711,                0.57524,                0.46451,                0.56506,                0.30224,                 1.8046,                 2.0258,                 2.3977,              0.0001784,              0.0001784,              0.0001784
